Genre,Rating,from,times,to
ic_mixed,NC-17,Том Марволо Реддл,1.0,Эйлин Принц
ic_mixed,NC-17,Абраксас Малфой,1.0,Флимонт Поттер
ic_mixed,NC-17,Артур Пендрагон,3.0,Мерлин
ic_mixed,NC-17,Абраксас Малфой,1.0,Северус Снейп
ic_mixed,NC-17,Северус Снейп,1.0,Том Марволо Реддл
ic_het,NC-17,Гарри Поттер,259.0,Гермиона Грейнджер
ic_slash,R,Гарри Поттер,1302.0,Драко Малфой
ic_het,NC-17,Джинни Уизли,32.0,Драко Малфой
ic_het,NC-17,Беллатриса Лестрейндж,17.0,Гарри Поттер
ic_slash,PG-13,Азирафаэль,10.0,Кроули
ic_het,R,Киллиан Джонс,1.0,Эмма Свон
ic_het,R,Алиса Лонгботтом,10.0,Фрэнк Лонгботтом
ic_het,R,Нарцисса Малфой,7.0,Северус Снейп
ic_het,R,Нимфадора Тонкс,65.0,Ремус Люпин
ic_het,R,Джеймс Поттер,151.0,Лили Поттер
ic_het,R,Реджина Миллс,1.0,Сириус Блэк
ic_het,R,Пандора Лавгуд,1.0,Регулус Блэк
ic_slash,G,Альбус Дамблдор,24.0,Геллерт Гриндевальд
ic_het,R,Гарри Поттер,266.0,Гермиона Грейнджер
ic_het,PG-13,Гарри Поттер,55.0,ОЖП
ic_het,PG-13,Гермиона Грейнджер,268.0,Рон Уизли
ic_slash,NC-17,Драко Малфой,52.0,Рон Уизли
ic_het,G,Гермиона Грейнджер,858.0,Драко Малфой
ic_gen,G,Гермиона Грейнджер,216.0,Драко Малфой
ic_het,PG-13,ОЖП,99.0,Северус Снейп
ic_slash,NC-17,Ким Тэхён,4.0,Мин Юнги
ic_slash,NC-17,Ким Намджун,10.0,Ким Сокджин
ic_slash,NC-17,Пак Чимин,1.0,Чон Хосок
ic_slash,R,Гермиона Грейнджер,27.0,Драко Малфой
ic_slash,R,Ремус Люпин,64.0,Сириус Блэк III
ic_slash,R,Люциус Малфой,7.0,Том Марволо Реддл
ic_mixed,NC-17,Дельфини,1.0,Люси Роуз
ic_mixed,NC-17,Дельфини,1.0,Рэйстлин Певерелл
ic_het,NC-17,Алисия Спиннет,2.0,Блейз Забини
ic_het,NC-17,Гарри Поттер,275.0,Джинни Уизли
ic_slash,R,Джеймс,2.0,Скорпиус
ic_mixed,R,Гарри Поттер,82.0,Драко Малфой
ic_mixed,R,Гермиона Грейнджер,21.0,Рон Уизли
ic_slash,NC-17, Гарри Поттер,19.0,Северус Снейп 
ic_gen,PG-13,Гермиона Грейнджер,165.0,Драко Малфой
ic_het,NC-17,Марлин МакКиннон,2.0,Сириус Блэк
ic_het,G,Мари-Виктуар Уизли,4.0,Тедди Люпин 
ic_het,PG-13,Виктор Крам,49.0,Гермиона Грейнджер
ic_het,NC-17,Драко Малфой,129.0,ОЖП
ic_het,R,ОЖП,53.0,Том Марволо Реддл
ic_het,G,Миллисента Булстроуд,1.0,Рон Уизли
ic_het,PG-13, Гриндевальд,1.0,Ариана 
ic_slash,R,Гарри Поттер,1.0,Локи Лафейсон
ic_het,PG-13,Драко Малфой,187.0,ОЖП
ic_gen,G,Люциус Малфой,20.0,Нарцисса Малфой
ic_het,R,Гермиона Грейнджер,34.0,Джордж Уизли
ic_het,G,ОЖП,2.0,Северус
ic_het,G,ОЖП,20.0,Северус Снейп
ic_het,R,Локи,2.0,ОЖП
ic_het,PG-13,Гарри Поттер,457.0,Гермиона Грейнджер
ic_slash,PG-13,Гарри Поттер,625.0,Северус Снейп
ic_slash,PG-13,Алукард,1.0,Гарри Поттер
ic_slash,NC-17,Ремус Люпин,60.0,Сириус Блэк III
ic_slash,PG-13,Маркус Флинт,48.0,Оливер Вуд
ic_het,G,Беллатриса,1.0,Волдеморт. Молли Уизли
ic_het,PG-13,Гермиона Грейнджер,316.0,Северус Снейп
ic_het,R,Блейз Забини,9.0,Пэнси Паркинсон
ic_het,PG-13,Гермиона Грейнджер,32.0,Сириус
ic_het,R,Гермиона Грейнджер,272.0,Северус Снейп
ic_het,R,Гарри Поттер,283.0,Джинни Уизли
ic_mixed,PG-13,fem!Гарри Поттер,2.0,Драко Малфой
ic_het,PG-13,Гарри Поттер,336.0,Джинни Уизли
ic_gen,PG-13,Альбус Дамблдор,6.0,Геллерт Гриндевальд
ic_slash,R,ГП,62.0,ДМ
ic_gen,PG-13,Марлин Маккиннон,30.0,Сириус Блэк III
ic_gen,PG-13,Джеймс Поттер,95.0,Лили Поттер
ic_slash,NC-17,Северус Снейп,40.0,Сириус Блэк III
ic_het,R,Мелисса,1.0,Северус Снейп
ic_gen,PG-13,Артур Уизли,16.0,Молли Уизли
ic_gen,PG-13,Гарри Поттер,83.0,Гермиона Грейнджер
ic_gen,PG-13,Луна Лавгуд,1.0,Рольф Скамандер
ic_gen,PG-13,Невилл Лонгботтом,3.0,Ханна Аббот
ic_gen,PG-13,Лаванда Браун,6.0,Рон Уизли
ic_het,R,Блейз Забини,24.0,Джинни Уизли
ic_het,NC-17,Дамблдор,1.0,МакГонагалл
ic_femslash,PG-13,fem!Гарри Поттер,5.0,fem!Драко Малфой
ic_femslash,PG-13,Гермиона Грейнджер,67.0,Панси Паркинсон
ic_het,PG-13,Гермиона Грейнджер,122.0,Том Марволо Реддл
ic_femslash,PG-13,Гермиона Грейнджер,5.0,Джинни
ic_het,NC-17,fem!Гарри Поттер,11.0,Северус Снейп
ic_het,NC-17,ОЖП,9.0,Рон Уизли
ic_het,NC-17,Луна Лавгуд,2.0,Рольф Скамандер
ic_het,NC-17,Люциус Малфой,1.0,Нарцисса Блэк
ic_slash,R,ГП,1.0,ДМ. Только это Снарри.
ic_het,PG-13,Марлин МакКиннон,29.0,Сириус Блэк
ic_het,G,Невилл Лонгботтом,1.0,Самайна Лестрейндж
ic_gen,NC-17, Читатели,1.0,Нибрас 
ic_mixed,PG-13,Виктория Лисовская,1.0,Эрилив
ic_slash,PG-13,Блейз Забини,27.0,Рон Уизли
ic_femslash,PG-13,Гермиона Грейнджер,17.0,Джинни Уизли
ic_het,G,Блейз Забини,13.0,Панси Паркинсон
ic_het,R,Нарцисса Малфой,2.0,Сириус Блэк
ic_het,PG-13,Беллатриса Лестрейндж,27.0,Родольфус Лестрейндж
ic_het,PG-13,Люциус Малфой,108.0,Нарцисса Малфой
ic_het,PG-13,Лаванда Браун,79.0,Рон Уизли
ic_het,PG-13,Блейз Забини,34.0,Панси Паркинсон
ic_het,G,Анджелина Джонсон,6.0,Джордж Уизли
ic_het,PG-13,ОЖП,57.0,ОМП
ic_het,NC-17,Гермиона Грейнджер,244.0,Северус Снейп
ic_gen,G,Драко Малфой,6.0,ОЖП
ic_slash,R, ГП,2.0,СС 
ic_slash,PG-13,Северус,4.0,Сириус
ic_slash,NC-17,Гарри Поттер,1.0,Гер Поттер
ic_mixed,NC-17,Джеймс Поттер,3.0,Сириус Блэк III
ic_mixed,NC-17,Северус Снейп,4.0,Сириус Блэк III
ic_mixed,NC-17,Лили Поттер,10.0,Северус Снейп
ic_femslash,NC-17,Лили Поттер,2.0,Петунья Дурсль
ic_slash,NC-17,Ремус Люпин,24.0,Сириус Блэк
ic_mixed,R,Гарри Поттер,26.0,Северус Снейп
ic_mixed,R,ОМП,1.0,Чарли Уизли
ic_mixed,R,Джинни Уизли,4.0,Луна Лавгуд
ic_mixed,R,Нарцисса Малфой,1.0,Рита Скитер
ic_mixed,R,Гермиона Грейнджер,1.0,Кингсли Шеклболт
ic_het,PG-13,Гермиона Грейнджер,55.0,Джордж Уизли
ic_het,R,Аманда,1.0,Найджел
ic_het,PG-13,Лили Поттер,125.0,Северус Снейп
ic_het,PG-13,Гарри Поттер,2.0,Пэнси Паркинсон
ic_slash,PG-13,Регулус Блэк,5.0,Сириус Блэк III
ic_het,PG-13,Гарри Поттер,4.0,Нимфадора Тонкс
ic_slash,G,Гарри Поттер,476.0,Драко Малфой
ic_slash,G,Ремус Люпин,23.0,Сириус Блэк III
ic_het,NC-21,Алекс,2.0,Джулия
ic_slash,PG-13,Гарри Поттер,1.0,подразумевается Северус Снейп
ic_slash,R,Гриша Поттеров,1.0,Даня Малфоев
ic_het,PG-13,Беллатриса Лестрейндж,42.0,Том Марволо Реддл
ic_het,R,ОЖП,156.0,Северус Снейп
ic_het,PG-13,Ретт Батлер,1.0,Скарлетт О`Хара-Гамильтон-Кеннеди-Батлер
ic_het,PG-13,Александр Андреевич Чацкий,1.0,Софья Павловна Фамусова
ic_het,PG-13,Анжелика,1.0,Жоффрей де Пейрак
ic_het,PG-13,Михримах Султан,1.0,Рустем-паша
ic_het,PG-13,Алексей Александрович Каренин,1.0,Анна Аркадьевна Каренина
ic_het,PG-13,Дженнифер Уоррен,1.0,Феличе Риварес
ic_het,PG-13,Мерседес Эррера,1.0,Эдмон Дантес
ic_het,PG-13, Гермиона Грейнджер,27.0,Драко Малфой
ic_gen,G,Джеймс Поттер,71.0,Лили Поттер
ic_gen,R,Астория Гринграсс,10.0,Драко Малфой
ic_gen,R,Гермиона Грейнджер,31.0,Рон Уизли
ic_gen,R,Джинни Уизли,1.0,Теодор Нотт
ic_het,G,Гермиона и многие другие,1.0,Драко Малфой
ic_het,PG-13,Джинни,14.0,Драко Малфой
ic_het,PG-13,Джинни Уизли,66.0,Драко Малфой
ic_slash,G,ГП,23.0,СС
ic_het,G,Джеймс Поттер,118.0,Лили Поттер
ic_gen,R,Гарри Поттер,12.0,Северус Снейп
ic_gen,R,Билл Уизли,4.0,Флёр Делакур
ic_het,R,Гарри Поттер,72.0,ОЖП
ic_slash,PG-13,Harry Potter,2.0,Severus Snape
ic_het,PG-13,Джордж,4.0,Луна
ic_slash,PG-13,ГП,1.0,ТМР
ic_gen,G,Беллатриса,1.0,Тёмный Лорд
ic_het,PG-13,Марлин Маккиннон,107.0,Сириус Блэк III
ic_slash,R,Гарри ,1.0,Северус
ic_het,R,ОЖП,1.0,Фред
ic_het,PG-13,Гермиона Грейнджер,83.0,Фред
ic_slash,R,Гарри Поттер,38.0,Северус
ic_slash,PG-13,Люциус,2.0,Сириус
ic_gen,G,Вернон Дурсль,11.0,Петунья Дурсль
ic_slash,R,Гарри Поттер,15.0,Том Реддл
ic_slash,NC-17,Гарри Поттер,14.0,Люциус
ic_slash,NC-21,Гарри Поттер,4.0,ОМП
ic_slash,NC-21,Гарри Поттер,17.0,Том Марволо Реддл
ic_slash,NC-21,Гарри Поттер,70.0,Драко Малфой
ic_slash,NC-21,Альбус Дамблдор,2.0,Том Марволо Реддл
ic_femslash,NC-17,Беллатриса Лестрейндж,48.0,Гермиона Грейнджер
ic_het,PG-13,Дин Томас,1.0,Падма Патил
ic_het,PG-13,Парвати Патил,1.0,Симус Финниган
ic_het,PG-13,Астория Малфой,1.0,Рон Уизли
ic_gen,G,Августа Лонгботтом,1.0,Том Реддл-ст.
ic_slash,R, Гарри Поттер,7.0,Северус Снейп
ic_slash,R,Альбус Дамблдор,56.0,Геллерт Гриндельвальд
ic_slash,R,Альбус Дамблдор,6.0,Гарри Поттер
ic_slash,NC-17,Лисандр Скамандер,1.0,Лоркан Скамандер
ic_het,NC-17,Гермиона Грейнджер,176.0,Рон Уизли
ic_het,NC-17,Астория Гринграсс,38.0,Драко Малфой
ic_het,R,Беллатриса Лестрейндж,24.0,Родольфус Лестрейндж
ic_het,R,Андромеда Тонкс,12.0,Тед Тонкс
ic_het,R,Люциус Малфой,74.0,Нарцисса Малфой
ic_slash,NC-17,Гарольд,1.0,Северус Снейп
ic_het,PG-13,Панси Паркинсон,17.0,Рон Уизли
ic_het,PG-13, Новый Женский Персонаж,1.0,Драко Малфой 
ic_het,G,Альбус Северус Поттер,1.0,Луна Лавгуд
ic_het,NC-17, Гермиона Грейнджер,13.0,Драко Малфой 
ic_slash,PG-13,м,5.0,м
ic_het,NC-21,Гермиона Грейнджер,69.0,Драко Малфой
ic_slash,R,Джордж Уизли,33.0,Фред Уизли
ic_slash,R,ОМП,6.0,ОМП
ic_het,NC-17,Нарцисса Малфой,3.0,Том Марволо Реддл
ic_gen,PG-13,Гермиона Грейнджер,32.0,Северус Снейп
ic_gen,G,Джеймс - Сириус Поттер,1.0,Роза Уизли
ic_slash,R,м,13.0,м
ic_het,R,Драко Малфой,6.0,Роза Уизли
ic_het,R,Артур Уизли,8.0,Молли Уизли
ic_het,R,Гермиона Грейнджер,200.0,Рон Уизли
ic_het,G,Геллерт,1.0,Минерва
ic_slash,G,Колин Криви,2.0,Майлз Блетчли
ic_slash,NC-21,Гарри Поттер,26.0,Северус Снейп
ic_slash,NC-21,Драко Малфой,2.0,Том Марволо Реддл
ic_slash,NC-21,Годрик Гриффиндор,1.0,ОМП
ic_het,G,Гарри Поттер,156.0,Гермиона Грейнджер
ic_het,NC-17,Гермиона Грейнджер,1.0,Ларри Джонсон
ic_het,R,Гермиона Грейнджер,23.0,Фред
ic_het,R,Билл Уизли,2.0,Джинни Уизли
ic_het,NC-17,Гермиона Грейнджер,2.0,Фенрир Сивый
ic_het,NC-17,Драко Малфой,1.0,Нокс
ic_slash,R,Гарри Поттер,4.0,Фенрир Сивый
ic_slash,PG-13,Ремус Люпин,53.0,Сириус Блэк
ic_gen,G,Марлин Маккинон,1.0,Сириус Блэк
ic_gen,G,Гарри Поттер,45.0,Драко Малфой
ic_mixed,R,Гермиона Грейнджер,35.0,Драко Малфой
ic_slash,NC-17,Гарри Поттер,6.0,Сириус
ic_femslash,PG-13,Гермиона Грейнджер,1.0,Чжоу Чанг
ic_het,R,Лили,8.0,Скорпиус
ic_slash,PG-13,Джордж,25.0,Фред
ic_het,R,Нарцисса,2.0,Сириус
ic_het,PG-13,Роза,11.0,Скорпиус
ic_slash,G, Драко Малфой,9.0,Гарри Поттер
ic_het,PG-13,Белла,2.0,Волдеморт
ic_gen,PG-13,Гарри Поттер,15.0,Том Марволо Реддл
ic_slash,R,Альбус Дамблдор,4.0,Том Марволо Реддл
ic_slash,NC-17,ГП,78.0,ДМ
ic_slash,NC-17,Гарри Поттер,389.0,Том Марволо Реддл
ic_het,PG-13,Астория Гринграсс,65.0,Драко Малфой
ic_het,R,Кристиан Нотт,1.0,Мэри Макдональд
ic_het,NC-17,Нимфадора Тонкс,29.0,Ремус Люпин
ic_het,G,Вайлет Томпсон,1.0,Джордж Уизли
ic_het,G,Джордж Уизли,14.0,ОЖП
ic_mixed,PG-13,Кекки Туотли,1.0,Меламори Блимм
ic_mixed,PG-13,Лойсо Пондохва,1.0,Нумминорих Кута
ic_mixed,PG-13,Джуффин Халли,1.0,Сотофа Ханемер
ic_mixed,PG-13,Кофа Йох,1.0,Луукфи Пэнц
ic_mixed,PG-13,Анчифа Мелифаро,1.0,Трикки Лай
ic_mixed,PG-13,Абилат Парас,1.0,Гуриг VIII
ic_mixed,PG-13,Базилио,1.0,Триша
ic_het,R,Гермиона Грейнджер,2.0,Тони Старк
ic_het,R,Гермиона Грейнджер,1.0,Клинт Бартон
ic_het,R,Гермиона Грейнджер,1.0,Тор
ic_het,R,Гермиона Грейнджер,2.0,Стив Роджерс
ic_gen,PG-13,Гарри Поттер,29.0,Северус Снейп
ic_slash,PG-13, Северус Снейп,6.0,Гарри Поттер 
ic_gen,R,Джим Кирк,1.0,Кхиори 
ic_gen,G,ОЖП,6.0,ОМП
ic_het,NC-17,Профессор,1.0,студентка
ic_het,R,Драко Малфой,172.0,ОЖП
ic_slash,R,ДМ,4.0,СС
ic_slash,R,ГарриПоттер,1.0,СеверусСнейп
ic_het,PG-13,ДУ,1.0,ОЖП
ic_het,PG-13,Келевра,1.0,Регулус
ic_het,R,Гермиона Грейнджер,31.0,Сириус Блэк III
ic_slash,G,Альбус Северус Поттер,8.0,Скорпиус Гиперион Малфой
ic_slash,NC-17,Люциус Малфой,79.0,Северус Снейп
ic_het,PG-13,Гермиона Грейнджер,51.0,Сириус Блэк III
ic_slash,NC-17,Гарри Поттер - основной,1.0,Драко Малфой
ic_het,NC-17,Гарри Поттер,2.0,Лаванда Браун
ic_gen,G,Гарри Поттер,1.0,Чифую
ic_het,R,Лили Луна Поттер,3.0,ОМП
ic_het,R,Джеймс Сириус Поттер,15.0,ОЖП
ic_het,R,Альбус Северус Поттер,19.0,ОЖП
ic_het,R,ОЖП,1.0,Хьюго Уизли
ic_het,R,Люси Уизли,2.0,ОМП
ic_het,R,Роза Уизли,9.0,Скорпиус Малфой
ic_femslash,R,ОЖП,4.0,ОЖП
ic_het,G,Билл Уизли,1.0,ОЖП
ic_het,PG-13,Луна Лавгуд,11.0,Северус Снейп
ic_het,R,Лили Поттер,3.0,Сириус Блэк
ic_het,R,Лили Поттер,62.0,Северус Снейп
ic_het,PG-13,Арабелла Нортон,2.0,Фред Уизли
ic_het,G,Джеймс Поттер ,1.0,Лили Поттер
ic_het,R,Полумна Лавгуд,1.0,Ремус Люпин
ic_gen,NC-17,Гермиона Грейнджер,32.0,Драко Малфой
ic_gen,PG-13, Гермиона Грейнджер,1.0,Том Реддл
ic_het,PG-13,Драко Малфой,2.0,Элисон
ic_slash,PG-13,Ремус Люпин,150.0,Сириус Блэк III
ic_gen,PG-13,Гарри Поттер,10.0,Луна Лавгуд
ic_het,R,Нагини,5.0,Том Марволо Реддл
ic_het,PG-13,Беллатриса Лестрейндж,1.0,Гермиона Грейнджер
ic_het,PG-13,Беллатриса Лестрейндж,1.0,Луна Лавгуд
ic_gen,G,Мира,1.0,Тэхён
ic_het,PG-13,Блейз Забини,16.0,Луна Лавгуд
ic_slash,G,Гарри Поттер,164.0,Северус Снейп
ic_het,G,Гермиона Грейнджер,83.0,Фред Уизли
ic_femslash,R,Гермиона Грейнджер,4.0,Джинни
ic_het,G,Луна Лавгуд,13.0,Невилл Лонгботтом
ic_het,PG-13,Изабелла Свон,2.0,Эдвард Каллен
ic_het,PG-13,Джаспер Хейл,2.0,Элис Каллен
ic_het,PG-13,Розали Хейл,2.0,Эмметт Каллен
ic_het,PG-13,Джейкоб Блэк,1.0,Ренесми Каллен
ic_het,PG-13,Карлайл Каллен,2.0,Эсми Каллен
ic_het,G,Слиз,1.0,Хаффушка
ic_gen,R,ОЖП,13.0,ОМП
ic_slash,PG-13,Гарри Поттер,12.0,Седрик Диггори
ic_het,R,Гермиона Грейнджер,121.0,Том Марволо Реддл
ic_slash,NC-17,Джон Хэмиш Ватсон,3.0,Шерлок Холмс
ic_slash,NC-17,Кингсли Шеклболт,2.0,Северус Снейп
ic_het,PG-13,ОЖП,6.0,СС
ic_het,R,fem!Гарри Поттер,16.0,Северус Снейп
ic_slash,PG-13,Мин Юнги,5.0,Чон Хосок
ic_slash,PG-13,Ким Намджун,7.0,Ким Сокджин
ic_slash,PG-13,Ким Тэхён,20.0,Чон Чонгук
ic_het,NC-17,fem!Драко Малфой,8.0,Гарри Поттер
ic_het,PG-13,Роза Уизли,14.0,Скорпиус Малфой
ic_het,NC-17,Гермиона Грейнджер,131.0,Люциус Малфой
ic_gen,PG-13,Драко Малфой,1.0,ОЖП (Доминика Смит)
ic_slash,G,Гилдерой Локхарт,1.0,Северус Снейп
ic_het,G,Астория Гринграсс,2.0,Блейз Забини
ic_het,G,Гарри Поттер,108.0,Джинни Уизли
ic_het,G,Панси Паркинсон,2.0,Рон Уизли
ic_slash,R,ГП,90.0,СС
ic_het,R,Беллатриса Лестрейндж,7.0,Северус Снейп
ic_het,R,Люциус Малфой,1.0,Петунья Дурсль
ic_het,PG-13,ОЖП,67.0,Фред Уизли
ic_mixed,PG-13, Гермиона и другие,1.0,Драко Малфой
ic_gen,PG-13,Вернон Дурсль,6.0,Петунья Дурсль
ic_het,R,Дорея Поттер,2.0,Карлус Поттер
ic_slash,PG-13,Ремус,36.0,Сириус
ic_het,PG-13,Миссис Грейнджер,10.0,Мистер Грейнджер
ic_mixed,NC-17,Гарри Поттер,73.0,Драко Малфой
ic_mixed,NC-17,ОЖП,4.0,ОЖП
ic_femslash,PG-13,Джинни Уизли,19.0,Полумна Лавгуд
ic_gen,PG-13,Нимфадора Тонкс,33.0,Ремус Люпин
ic_gen,PG-13,Лайелл Люпин,1.0,Хоуп Люпин
ic_gen,PG-13,ОЖП,13.0,Фред Уизли
ic_gen,PG-13,Аластор Грюм,1.0,ОЖП
ic_gen,PG-13,ОЖП,1.0,Седрик Диггори
ic_gen,G,Нимфадора,2.0,Римус
ic_gen,R,Лили Эванс,1.0,Первоначально - Джеймс Поттер
ic_het,NC-17,ОЖП,9.0,Сириус Блэк
ic_het,NC-17,Джеймс Поттер,82.0,Лили Поттер
ic_gen,R,Алиса Лонгботтом,6.0,Фрэнк Лонгботтом
ic_femslash,PG-13,Джинни Уизли,4.0,Чо Чанг
ic_het,R, Гермиона,2.0,Гарри 
ic_het,PG-13,ОЖП,18.0,Седрик Диггори
ic_slash,PG-13,Гарри Поттер,44.0,Рон Уизли
ic_slash,PG-13,Гермиона Грейнджер,49.0,Рон Уизли
ic_het,PG-13,Гермиона Грейнджер,88.0,Люциус Малфой
ic_het,G,Гермиона Грейнджер,138.0,Северус Снейп
ic_het,G,Астория Гринграсс,3.0,Гарри Поттер
ic_het,G,Луна Лавгуд,5.0,Рон Уизли
ic_slash,NC-17,Гарри Поттер,2.0,Тони Старк
ic_mixed,R,Люциус Малфой,22.0,Нарцисса Малфой
ic_het,R,Нимфадора Тонкс,1.0,Римус Люпин
ic_het,PG-13,Джинни Уизли,5.0,Рон Уизли
ic_mixed,R,Дамболдор,1.0,неизвестный.
ic_slash,R,Альбус Дамблдор,3.0,Северус Снейп
ic_slash,NC-17,Волди,1.0,Гаре
ic_gen,G,Гарри Поттер,11.0,Том Марволо Реддл
ic_het,R,Гермиона Грейнджер,6.0,Том Риддл
ic_het,NC-17,Гермиона Грейнджер,1.0,Римус Люпин
ic_het,PG-13,Джинни Уизли,1.0,Симус Финниган
ic_het,R,Роза Уизли,33.0,Скорпиус Гиперион Малфой
ic_slash,PG-13,ГП,118.0,СС
ic_het,G,Гарри Поттер,3.0,Полумна
ic_het,R,Арквейд.,1.0,Шики
ic_slash,NC-17,Гарри Поттер; Северус Снейп,1.0,Драко Малфой
ic_gen,R,Ньют Скамандер,1.0,Порпентина Голдштейн
ic_het,R,Беллатриса Лестрейндж,3.0,Гермиона Грейнджер
ic_het,R,Барти Крауч-мл.,1.0,Белла Лестрейндж
ic_femslash,PG-13,Беллатриса Лестрейндж,52.0,Гермиона Грейнджер
ic_slash,NC-17,Гарри Поттер,22.0,Рон Уизли
ic_het,R,Беллатриса Лестрейндж,45.0,Том Марволо Реддл
ic_het,R, Гермиона Грейнджер,6.0,Северус Снейп
ic_slash,PG-13,Невилл Лонгботтом,9.0,Северус Снейп
ic_slash,PG-13, Драко Малфой,17.0,Гарри Поттер 
ic_gen,PG-13,Ремус Люпин,3.0,Сириус Блэк
ic_slash,PG-13,Дилан О'Брайен,1.0,Томас Сангстер
ic_het,PG-13,Джеймс Поттер,67.0,Лили Эванс
ic_slash,NC-17,Гарри Поттер,15.0,Том Риддл
ic_slash,R,Люциус Малфой,21.0,Нарцисса Малфой
ic_slash,R,Джеймс Поттер,34.0,Лили Поттер
ic_slash,R,М,4.0,М
ic_het,PG-13, Лорд Волдеморт,2.0,Гермиона Грейнджер 
ic_het,R,Леви Аккерман,1.0,Микаса Аккерман
ic_het,G,Драко Малфой,6.0,Панси Паркинсон
ic_slash,R,Виктор Крам,3.0,Гарри Поттер
ic_slash,PG-13,Бартемиус Крауч-мл.,5.0,Регулус Блэк
ic_slash,PG-13,Регулус Блэк,2.0,Северус Снейп
ic_slash,NC-21,Алек Лайтвуд,1.0,Джейс Эрондейл
ic_slash,NC-21,Александр Лайтвуд,1.0,Джейс Лайтвуд Эрондейл
ic_slash,NC-21,Алек Лайтвуд,1.0,Магнус Бейн
ic_slash,NC-21,Азирафаэль,1.0,Кроули
ic_slash,NC-21,Ганнибал Лектер,2.0,Уилл Грэм
ic_slash,NC-21,Изабель София Лайтвуд,1.0,Кларисса Адель Фэйрчайлд
ic_slash,NC-21,Алек Лайтвуд,1.0,Себастьян Моргенштерн
ic_gen,PG-13,Джеймс Поттер,14.0,Лили Эванс
ic_slash,PG-13,Северус Снейп,1.0,Сириус Блек
ic_slash,R,Антон Устимов,1.0,Сергей Штурхалёв
ic_het,R,Виктор Крам,5.0,ОЖП
ic_slash,PG-13,Гарри Поттер,8.0,ОМП
ic_slash,PG-13,Гарри Поттер,2.0,ОЖП
ic_het,R,ГГ,15.0,СС
ic_het,NC-17,Гермиона Грейнджер,20.0,Северус
ic_slash,R,Северус Снейп,23.0,Сириус Блэк III
ic_het,PG-13,Драко Малфой,1.0,Селена Блэк
ic_het,PG-13,Гарри Поттер,1.0,Селена Блэк
ic_het,R,Джинни,7.0,Драко Малфой
ic_het,PG-13,Луна,9.0,Невилл
ic_het,PG-13,Гарри Поттер,41.0,Дафна Гринграсс
ic_het,PG-13,Джеймс,72.0,Лили
ic_slash,R,Маркус Флинт,47.0,Оливер Вуд
ic_slash,NC-17,Гарри Поттер,4.0,Дадли Дурсль
ic_slash,R,Альбус Дамблдор,68.0,Геллерт Гриндевальд
ic_gen,G,Гарри Поттер,1.0,Эдвард Каллен
ic_het,PG-13,Северус Снейп,1.0,Элладора Малфой
ic_slash,R,Драко Малфой,57.0,Рон Уизли
ic_gen,G,Джинни,4.0,Драко Малфой
ic_femslash,G,Гермиона Грейнджер,12.0,Панси Паркинсон
ic_het,NC-17,Долорес Амбридж,1.0,Корбан Яксли
ic_het,NC-17,ОЖП,42.0,ОМП
ic_het,NC-17,Гермиона Грейнджер,29.0,Люциус
