from,times,to
Алисия Спиннет,2.0,Блейз Забини
Гарри Поттер,1356.0,Джинни Уизли
Джеймс,3.0,Скорпиус
 Гарри Поттер,36.0,Северус Снейп 
Марлин МакКиннон,49.0,Сириус Блэк
Мари-Виктуар Уизли,21.0,Тедди Люпин 
Виктор Крам,145.0,Гермиона Грейнджер
Драко Малфой,571.0,ОЖП
ОЖП,208.0,Том Марволо Реддл
Миллисента Булстроуд,1.0,Рон Уизли
 Гриндевальд,1.0,Ариана 
Гарри Поттер,1.0,Локи Лафейсон
Люциус Малфой,480.0,Нарцисса Малфой
Гермиона Грейнджер,132.0,Джордж Уизли
ОЖП,11.0,Северус
Локи,5.0,ОЖП
Алукард,3.0,Гарри Поттер
Маркус Флинт,176.0,Оливер Вуд
Беллатриса,1.0,Волдеморт. Молли Уизли
Гермиона Грейнджер,1131.0,Северус Снейп
Блейз Забини,26.0,Пэнси Паркинсон
Гермиона Грейнджер,65.0,Сириус
fem!Гарри Поттер,91.0,Драко Малфой
ГП,238.0,ДМ
Марлин Маккиннон,248.0,Сириус Блэк III
Северус Снейп,104.0,Сириус Блэк III
Мелисса,1.0,Северус Снейп
Артур Уизли,94.0,Молли Уизли
Луна Лавгуд,14.0,Рольф Скамандер
Невилл Лонгботтом,28.0,Ханна Аббот
Лаванда Браун,251.0,Рон Уизли
Блейз Забини,102.0,Джинни Уизли
Дамблдор,2.0,МакГонагалл
fem!Гарри Поттер,14.0,fem!Драко Малфой
Гермиона Грейнджер,391.0,Том Марволо Реддл
Гермиона Грейнджер,15.0,Джинни
fem!Гарри Поттер,55.0,Северус Снейп
ОЖП,46.0,Рон Уизли
Люциус Малфой,22.0,Нарцисса Блэк
ГП,1.0,ДМ. Только это Снарри.
Невилл Лонгботтом,1.0,Самайна Лестрейндж
 Читатели,1.0,Нибрас 
Виктория Лисовская,1.0,Эрилив
Гермиона Грейнджер,55.0,Джинни Уизли
Блейз Забини,150.0,Панси Паркинсон
Нарцисса Малфой,3.0,Сириус Блэк
Беллатриса Лестрейндж,110.0,Родольфус Лестрейндж
Анджелина Джонсон,61.0,Джордж Уизли
ОЖП,241.0,ОМП
 ГП,6.0,СС 
Северус,14.0,Сириус
Гарри Поттер,1.0,Гер Поттер
Джеймс Поттер,84.0,Сириус Блэк III
Лили Поттер,2.0,Петунья Дурсль
Ремус Люпин,117.0,Сириус Блэк
ОМП,2.0,Чарли Уизли
Джинни Уизли,53.0,Луна Лавгуд
Нарцисса Малфой,1.0,Рита Скитер
Гермиона Грейнджер,4.0,Кингсли Шеклболт
Аманда,1.0,Найджел
Гарри Поттер,13.0,Пэнси Паркинсон
Регулус Блэк,18.0,Сириус Блэк III
Гарри Поттер,43.0,Нимфадора Тонкс
Алекс,4.0,Джулия
Гарри Поттер,1.0,подразумевается Северус Снейп
Гриша Поттеров,1.0,Даня Малфоев
Беллатриса Лестрейндж,174.0,Том Марволо Реддл
Ретт Батлер,1.0,Скарлетт О`Хара-Гамильтон-Кеннеди-Батлер
Александр Андреевич Чацкий,1.0,Софья Павловна Фамусова
Анжелика,1.0,Жоффрей де Пейрак
Михримах Султан,1.0,Рустем-паша
Алексей Александрович Каренин,1.0,Анна Аркадьевна Каренина
Дженнифер Уоррен,1.0,Феличе Риварес
Мерседес Эррера,1.0,Эдмон Дантес
 Гермиона Грейнджер,76.0,Драко Малфой
Астория Гринграсс,236.0,Драко Малфой
Джинни Уизли,20.0,Теодор Нотт
Гермиона и многие другие,1.0,Драко Малфой
Джинни,42.0,Драко Малфой
ГП,417.0,СС
Билл Уизли,58.0,Флёр Делакур
Harry Potter,2.0,Severus Snape
Джордж,5.0,Луна
ГП,1.0,ТМР
Беллатриса,3.0,Тёмный Лорд
Гарри ,1.0,Северус
ОЖП,5.0,Фред
Гермиона Грейнджер,153.0,Фред
Гарри Поттер,162.0,Северус
Люциус,8.0,Сириус
Вернон Дурсль,51.0,Петунья Дурсль
Гарри Поттер,37.0,Том Реддл
Гарри Поттер,24.0,Люциус
Гарри Поттер,66.0,ОМП
Альбус Дамблдор,20.0,Том Марволо Реддл
Беллатриса Лестрейндж,180.0,Гермиона Грейнджер
Дин Томас,2.0,Падма Патил
Парвати Патил,2.0,Симус Финниган
Астория Малфой,1.0,Рон Уизли
Августа Лонгботтом,1.0,Том Реддл-ст.
 Гарри Поттер,19.0,Северус Снейп
Альбус Дамблдор,29.0,Гарри Поттер
Лисандр Скамандер,3.0,Лоркан Скамандер
Андромеда Тонкс,51.0,Тед Тонкс
Гарольд,1.0,Северус Снейп
 Новый Женский Персонаж,1.0,Драко Малфой 
Альбус Северус Поттер,1.0,Луна Лавгуд
м,26.0,м
Джордж Уизли,172.0,Фред Уизли
ОМП,22.0,ОМП
Нарцисса Малфой,12.0,Том Марволо Реддл
Джеймс - Сириус Поттер,1.0,Роза Уизли
Драко Малфой,13.0,Роза Уизли
Геллерт,1.0,Минерва
Колин Криви,4.0,Майлз Блетчли
Драко Малфой,23.0,Том Марволо Реддл
Годрик Гриффиндор,1.0,ОМП
Гермиона Грейнджер,1.0,Ларри Джонсон
Билл Уизли,2.0,Джинни Уизли
Гермиона Грейнджер,4.0,Фенрир Сивый
Драко Малфой,1.0,Нокс
Гарри Поттер,13.0,Фенрир Сивый
Марлин Маккинон,3.0,Сириус Блэк
Гарри Поттер,13.0,Сириус
Гермиона Грейнджер,3.0,Чжоу Чанг
Лили,47.0,Скорпиус
Джордж,62.0,Фред
Нарцисса,4.0,Сириус
Роза,26.0,Скорпиус
 Драко Малфой,46.0,Гарри Поттер
Белла,2.0,Волдеморт
Кристиан Нотт,1.0,Мэри Макдональд
Вайлет Томпсон,1.0,Джордж Уизли
Джордж Уизли,122.0,ОЖП
Кекки Туотли,1.0,Меламори Блимм
Лойсо Пондохва,1.0,Нумминорих Кута
Джуффин Халли,2.0,Сотофа Ханемер
Кофа Йох,1.0,Луукфи Пэнц
Анчифа Мелифаро,1.0,Трикки Лай
Абилат Парас,1.0,Гуриг VIII
Базилио,1.0,Триша
Гермиона Грейнджер,6.0,Тони Старк
Гермиона Грейнджер,1.0,Клинт Бартон
Гермиона Грейнджер,2.0,Тор
Гермиона Грейнджер,7.0,Стив Роджерс
 Северус Снейп,29.0,Гарри Поттер 
Джим Кирк,1.0,Кхиори 
Профессор,2.0,студентка
ДМ,10.0,СС
ГарриПоттер,3.0,СеверусСнейп
ДУ,1.0,ОЖП
Келевра,1.0,Регулус
Гермиона Грейнджер,134.0,Сириус Блэк III
Альбус Северус Поттер,98.0,Скорпиус Гиперион Малфой
Люциус Малфой,208.0,Северус Снейп
Гарри Поттер - основной,1.0,Драко Малфой
Гарри Поттер,7.0,Лаванда Браун
Гарри Поттер,3.0,Чифую
Лили Луна Поттер,9.0,ОМП
Джеймс Сириус Поттер,40.0,ОЖП
Альбус Северус Поттер,37.0,ОЖП
ОЖП,4.0,Хьюго Уизли
Люси Уизли,3.0,ОМП
Роза Уизли,49.0,Скорпиус Малфой
ОЖП,22.0,ОЖП
Билл Уизли,7.0,ОЖП
Луна Лавгуд,26.0,Северус Снейп
Лили Поттер,11.0,Сириус Блэк
Арабелла Нортон,2.0,Фред Уизли
Джеймс Поттер ,1.0,Лили Поттер
Полумна Лавгуд,2.0,Ремус Люпин
 Гермиона Грейнджер,3.0,Том Реддл
Драко Малфой,2.0,Элисон
Гарри Поттер,101.0,Луна Лавгуд
Нагини,10.0,Том Марволо Реддл
Беллатриса Лестрейндж,2.0,Луна Лавгуд
Мира,1.0,Тэхён
Блейз Забини,46.0,Луна Лавгуд
Изабелла Свон,11.0,Эдвард Каллен
Джаспер Хейл,14.0,Элис Каллен
Розали Хейл,13.0,Эмметт Каллен
Джейкоб Блэк,1.0,Ренесми Каллен
Карлайл Каллен,12.0,Эсми Каллен
Слиз,1.0,Хаффушка
Гарри Поттер,41.0,Седрик Диггори
Джон Хэмиш Ватсон,35.0,Шерлок Холмс
Кингсли Шеклболт,2.0,Северус Снейп
ОЖП,17.0,СС
Мин Юнги,9.0,Чон Хосок
Ким Тэхён,40.0,Чон Чонгук
fem!Драко Малфой,20.0,Гарри Поттер
Гермиона Грейнджер,305.0,Люциус Малфой
Драко Малфой,1.0,ОЖП (Доминика Смит)
Гилдерой Локхарт,3.0,Северус Снейп
Астория Гринграсс,15.0,Блейз Забини
Беллатриса Лестрейндж,31.0,Северус Снейп
Люциус Малфой,2.0,Петунья Дурсль
ОЖП,204.0,Фред Уизли
 Гермиона и другие,1.0,Драко Малфой
Дорея Поттер,20.0,Карлус Поттер
Ремус,57.0,Сириус
Миссис Грейнджер,40.0,Мистер Грейнджер
Джинни Уизли,31.0,Полумна Лавгуд
Лайелл Люпин,5.0,Хоуп Люпин
Аластор Грюм,4.0,ОЖП
ОЖП,47.0,Седрик Диггори
Нимфадора,5.0,Римус
Лили Эванс,1.0,Первоначально - Джеймс Поттер
ОЖП,53.0,Сириус Блэк
Джинни Уизли,4.0,Чо Чанг
 Гермиона,10.0,Гарри 
Гарри Поттер,124.0,Рон Уизли
Астория Гринграсс,33.0,Гарри Поттер
Луна Лавгуд,36.0,Рон Уизли
Гарри Поттер,9.0,Тони Старк
Нимфадора Тонкс,22.0,Римус Люпин
Джинни Уизли,25.0,Рон Уизли
Дамболдор,1.0,неизвестный.
Альбус Дамблдор,17.0,Северус Снейп
Волди,1.0,Гаре
Гермиона Грейнджер,17.0,Том Риддл
Гермиона Грейнджер,7.0,Римус Люпин
Джинни Уизли,2.0,Симус Финниган
Роза Уизли,118.0,Скорпиус Гиперион Малфой
Гарри Поттер,10.0,Полумна
Арквейд.,1.0,Шики
Гарри Поттер; Северус Снейп,1.0,Драко Малфой
Ньют Скамандер,16.0,Порпентина Голдштейн
Барти Крауч-мл.,1.0,Белла Лестрейндж
 Гермиона Грейнджер,26.0,Северус Снейп
Невилл Лонгботтом,28.0,Северус Снейп
 Драко Малфой,54.0,Гарри Поттер 
Дилан О'Брайен,3.0,Томас Сангстер
Джеймс Поттер,147.0,Лили Эванс
Гарри Поттер,42.0,Том Риддл
М,8.0,М
 Лорд Волдеморт,3.0,Гермиона Грейнджер 
Леви Аккерман,1.0,Микаса Аккерман
Драко Малфой,104.0,Панси Паркинсон
Виктор Крам,13.0,Гарри Поттер
Бартемиус Крауч-мл.,10.0,Регулус Блэк
Регулус Блэк,9.0,Северус Снейп
Алек Лайтвуд,1.0,Джейс Эрондейл
Александр Лайтвуд,1.0,Джейс Лайтвуд Эрондейл
Алек Лайтвуд,8.0,Магнус Бейн
Ганнибал Лектер,12.0,Уилл Грэм
Изабель София Лайтвуд,1.0,Кларисса Адель Фэйрчайлд
Алек Лайтвуд,1.0,Себастьян Моргенштерн
Северус Снейп,1.0,Сириус Блек
Антон Устимов,1.0,Сергей Штурхалёв
Виктор Крам,15.0,ОЖП
ГГ,96.0,СС
Гермиона Грейнджер,77.0,Северус
Драко Малфой,1.0,Селена Блэк
Гарри Поттер,1.0,Селена Блэк
Луна,19.0,Невилл
Джеймс,166.0,Лили
Гарри Поттер,12.0,Дадли Дурсль
Гарри Поттер,48.0,Эдвард Каллен
Северус Снейп,1.0,Элладора Малфой
Долорес Амбридж,3.0,Корбан Яксли
Гермиона Грейнджер,61.0,Люциус
Волан-де-Морт,6.0,Гермиона Грейнджер
Гарри Поттер,38.0,Полумна Лавгуд
Гермиона Грейнджер,2.0,Джеймс Сириус Поттер
Джеймс Поттер,1.0,Лили Эванс.
Драко Малфой,38.0,Пэнси Паркинсон
Сириус Блэк III,3.0,Эммелина Вэнс
ОЖП,3.0,Эван Розье
Луна Лавгуд,21.0,Теодор Нотт
Гарри Поттер,8.0,Трейси Дэвис
Гарри Поттер,84.0,Панси Паркинсон
Барти Крауч мл.,4.0,ОЖП
Лили,107.0,Северус
Барти Крауч Мл. Вальбурга Блэк Орион блэк,1.0,Сириус Блэк
Арагорн,1.0,Эраглин - основной
 Саша,1.0,Гарри 
Блейз,1.0,Драко Малфой
fem!Сал Фишер,1.0,Ларри Джонсон
Мария Меривезер ,1.0,Робин Де Нуар
Беллатрикс Блэк,1.0,Регулус Блэк
ГП,30.0,ЛМ
Розмерта,1.0,Тобиас
Билл,4.0,Флёр
Гарри Поттер,2.0,Новый персонаж
ОЖП,34.0,Теодор Нотт
Бекхён,1.0,Чанёль
Гарри Поттер,199.0,Люциус Малфой
Блейз Забини,121.0,Гермиона Грейнджер
Альбус Дамблдор,63.0,Минерва Макгонагалл
fem!Гарри Поттер,6.0,Виктор Крам
Грейнджер,25.0,Малфой
Астория Гринграсс,3.0,Нарцисса Малфой
Гермиона Грейнджер,8.0,Лаванда Браун
 Артур Уизли,1.0,Молли Уизли 
fem!Гарри Поттер,74.0,Том Марволо Реддл
Джинни Уизли,16.0,ОМП
ЛМ,4.0,ОЖП
Люциус Малфой,55.0,ОЖП
Оливер Вуд,1.0,фем Гарри Поттер
Лукреция,1.0,Чезаре!Гарри Поттер
Драко Малфой,1.0,м
...,1.0,ГП
Абраксас Малфой,6.0,ОЖП
Люциус Малфой,3.0,Скабиор
Лили Луна,3.0,Тедди
Марлин Маккиннон,1.0,Сириус Блэк II
Гарри Поттер,39.0,Чжоу Чанг
Габриэль Делакур,19.0,Гарри Поттер
Гермиона Грейнджер,66.0,Сириус Блэк
ОЖП,37.0,Оливер Вуд
Сириус Блэк,1.0,новый женский персонаж
Акация Лонгботтом,1.0,Джеймс Сириус Поттер
Джеймс Поттер,79.0,Северус Снейп
Нарцисса Малфой,4.0,Регулус Блэк
Пэнси,1.0,Рон Уизли
ОМП,25.0,Северус Снейп
Гарри Поттер,2.0,Тедди Люпин
Беллатриса Лестрейндж,3.0,Рита Скитер
Дафна Гринграсс,35.0,Теодор Нотт
Драко Малфой,1.0,Камелия Нотт
Гарри Поттер,1.0,Камелия Нотт
Гарри Поттер,92.0,Джинни
Гермиона Грейнджер,3.0,Саурон
Гермиона Грейнджер,10.0,Луна
Меропа,1.0,Том Марволо Реддл
Люпин,22.0,Тонкс
?,15.0,Гарри Поттер
Минерва Макгонагалл,54.0,Северус Снейп
Минерва Макгонагалл,5.0,Элфинстоун Урхарт
Гермиона Грейнджер,1.0,Себастьян Моргенштерн
Волдеморт,38.0,Гарри Поттер
Ожп,3.0,Северус Снейп
 Северус Снейп,4.0,Гермиона Грейнджер
Дин Томас,29.0,Симус Финниган
Драко Малфой,1.0,Куинн Риган О‘Ши-Хэйс
Салазар Слизерин,1.0,Хелена Райвенло
Елена Когтевран,1.0,Салазар Слизерин
НЖП;,1.0,Сириус Блэк
Джинни Уизли,8.0,Сириус Блэк III
Блейз Забини,1.0,Фред Уизли
Антонин Долохов,1.0,Беллатриса Лейстрейндж
Джеймс Поттер,10.0,Том Марволо Реддл
Лили Эванс,89.0,Северус Снейп
 почти все предложенные фанатами варианты.,1.0,Сириус Блэк
Беллатриса Лестрейндж,1.0,Хидан
ОЖП,3.0,Оливер
Живоглот,1.0,ОЖП
Александра,1.0,Илон Туккер
Гермиона Грейнджер,36.0,Регулус Блэк
Люциус Малфой,34.0,Сириус Блэк
Оскар Феллинс,1.0,Пенни Паддингтон
Альбус Дамблдор,1.0,НЖП
Гарри-неко,1.0,Том Марволо Реддл
Гермиона Грейнджер,2.0,Парвати Патил
Гермиона Грейнджер,8.0,Симус Финниган
Гермиона Грейнджер,1.0,Захария Смит
Хороми Сакугава,1.0,нПрофессор Нолледж
Джинни Уизли,34.0,Северус Снейп
 Марлин,2.0,Сириус
НЖП,12.0,СС
Гарри Поттер,2.0,Хедвиг
Драко Малфой,60.0,Полумна Лавгуд
 Драко Малфой,46.0,Гермиона Грейнджер
Гермиона Грейнджер,99.0,Теодор Нотт
Билл Уизли,14.0,Чарли Уизли
Гермиона Грейнджер,8.0,Снейп
 Гарри Поттер,21.0,Драко Малфой
Драко Малфой,4.0,Лили Луна Поттер
Бартемиус Крауч-мл.,1.0,Луна Лавгуд
 Драко Малфой,1.0,Гаррет Поттер 
Гарри Поттер,50.0,Сириус Блэк III
Рон Уизли,1.0,Флер Делакур
Гарри Поттер,82.0,Флёр Делакур
Поттер,22.0,Снейп
Гарри Поттер,2.0,Северус и другие
 Луна Лавгуд,1.0,Люциус Малфой 
Нарцисса Малфой,1.0,ОЖП
НЖП,11.0,Северус Снейп
Мин Юнги,43.0,Пак Чимин
Джеймс,15.0,Сириус
Лаванда Браун,1.0,Падма Патил
Виктор Никифоров,18.0,Юри Кацуки
Отабек Алтын,10.0,Юрий Плисецкий
Гермиона Грэйнджэр,1.0,Драко Малфой
Дорея Блэк,1.0,Чарльз Поттер
Геллерт Гриндельвальд,3.0,ОЖП
Антонин Долохов,20.0,ОЖП
Северус Снейп,41.0,Сириус Блэк
Гарри Поттер,2.0,Питер Паркер
Кэти Белл,5.0,Фред Уизли
Беллатрикс,1.0,Люциус
Перси Уизли,1.0,Пэнси Паркинсон
fem!Ремус Люпин,5.0,Сириус Блэк III
Марлин,37.0,Сириус
Беллатриса.,1.0,Гарри Поттер
Лили Луна Поттер,120.0,Скорпиус Гиперион Малфой
Альбус,28.0,Скорпиус
Драко Малфой,1.0,Эшли Хокс
Галина Рогозина,2.0,Северус Снейп
Тобиас Снейп,11.0,Эйлин Принц
Регулус Блэк,13.0,Сириус Блэк
Блейз Забини,33.0,Драко Малфой
Лили Луна Поттер,6.0,Эдвард Римус Люпин
Шокичи Наруко,3.0,Шунске Имаизуми 
 Гермиона Грейнджер,3.0,Фред Уизли
Панси Паркинсон,37.0,Теодор Нотт
Грэхем Монтегю,17.0,Фред Уизли
Ты,1.0,Фред Уизли
Мэйв Уайли,1.0,Отис Милбёрн
Симус Финниган,1.0,Эйми Гиббс
Адам Грофф,1.0,Эрик Эффионг
Василиса Огнева,43.0,Фэшиар Драгоций
Захарра Драгоций ,13.0,Маар Броннер
Диана Фрезер,25.0,Ник Лазарев
Антонин,2.0,Люциус
Алисия Спиннет,11.0,Джордж Уизли
Дадли Дурсль,1.0,Чжоу Чанг
Гарри Поттер,1.0,Лили Поттер-мл.
Дафна Гринграсс,20.0,Драко Малфой
Барти-мл.,1.0,Гермиона Грейнджер
Джон Леннон,1.0,Пол МакКартни
ДМ,9.0,РУ
Гарри Поттер,5.0,Себастьян Михаэлис
Галадриэль,5.0,Гарри Поттер
Муфалда,1.0,Эдгар Боунс
Джеймс Поттер,1.0,Лили Эванс и другие.
Воландеморт,1.0,Северус Снейп
fem!Гарри Поттер,5.0,Тони Старк
Соске Ямазаки,1.0,Харука Нанасэ
Ли Чжухон,1.0,Сон Гонхи
Сон Хёну,1.0,Шин Хосок
Беллатриса,1.0,Рабастан
Гермиона Грейнджер,37.0,Ремус Люпин
Драко Малфой,81.0,Северус Снейп
fem!Рон Уизли,2.0,male!Панси Паркинсон
 Лили Эванс,9.0,Северус Снейп
Лили Поттер,55.0,Сириус Блэк III
Роза,1.0,Скорп
Гарри Поттер,7.0,Фенрир
Дейдара,5.0,Хината Хьюга
ОМП,4.0,Панси Паркинсон
Адель,1.0,Гарри Поттер
ОЖП,19.0,Скорпиус Гиперион Малфой
Квиринус Квиррелл,2.0,ОЖП
Аластор Грюм,2.0,Беллатриса Лестрейндж
ГП,7.0,ТЛ
Драко Малфой,3.0,Скорпиус Гиперион Малфой
Северус Снейп,4.0,Сивилла Трелони
Вэй Ин,12.0,Лань Чжань
Лили,1.0,Скорпиус. остальные мельком.
Акаши,1.0,Мидорима
Том Марволо Реддл,2.0,Хэпзиба Смит
Драко Малфой,1.0,новый женский персонаж
Джинни Уизли,1.0,Коннор
?,1.0,Дима
Альбус Дамблдор,5.0,Ньют Скамандер
Джейн Вольтури,2.0,Драко Малфой
dark!Гермиона Грейнджер,6.0,Драко Малфой
 Лекси,1.0,Драко 
ОЖП,1.0,Рольф Скамандер
Питер Петтигрю,2.0,Северус Снейп
Мичиру,1.0,Хару
Бартемиус Крауч-ст.,7.0,Мадам Розмерта
Люциус Малфой,1.0,Марлин Маккиннон
 Лили,2.0,Сириус 
Кингсли Бруствер,1.0,ОЖП
Кэти Белл,13.0,Маркус Флинт
Гарри Поттер,3.0,Минерва Макгонагалл
Гарри Поттер,5.0,Петунья Дурсль
Гарри Поттер,4.0,Молли Уизли
Гарри Поттер,9.0,Ромильда Вейн
Гарри Поттер,1.0,Мадам Розмерта
Гарри Поттер,1.0,Поппи Помфри
Гарри Поттер,1.0,Роланда Хуч
Гарри Поттер,6.0,Рита Скитер
Гарри Поттер,1.0,Тётушка Мюриэль
Арабелла Фигг,1.0,Гарри Поттер
Гарри Поттер,1.0,Марджори Дурсль
Августа Лонгботтом,1.0,Гарри Поттер
Гарри Поттер,1.0,Гвеног Джонс
Гарри Поттер,1.0,Сивилла Трелони
Гарри Поттер,5.0,Долорес Амбридж
Рон Уизли,18.0,Северус Снейп
 ??,1.0,Гермиона Грейнджер
Сон Хёну,3.0,Ю Кихён
Ли Чжухон,1.0,Чу Сочжон
Питер Паркер,9.0,Тони Старк
Ледяной Джек,2.0,Рапунцель
Антонин Долохов,2.0,Гарри Поттер
Гарри Поттер,1.0,Родольфус Лестрейндж
Гарри Поттер,4.0,Рабастан Лестрейндж
Гарри Поттер,2.0,Кингсли Шеклболт
Симус Финниган,1.0,Теодор Нотт
Абраксас Малфой,1.0,Миллисента Багнолд
Гермиона Грейнджер,3.0,Минерва МакГонагалл
Римус Люпин,15.0,Сириус Блэк
Марлин Маккиннон,1.0,Мэри Макдональд
Аврора Синистра,9.0,Северус Снейп
Ли Джордан,2.0,ОЖП
Блейз Забини,12.0,Кэти Белл
Гарри Поттер,2.0,Деймон Сальваторе
Астория,1.0,Симус
ОЖП,3.0,Симус Финниган
Беллатрикс Блэк,2.0,Нарцисса Малфой
Панси Паркинсон,6.0,Полумна Лавгуд
Draco,1.0,You
Гарри Поттер ,1.0,Ханна Эбот
Гарри Поттер,1.0,Женщины Хогвартса
Гарри Поттер,1.0,Джинни Уизли и другие книжные
Салазар Слизерин,3.0,Том Марволо Реддл
Люциус Малфой,5.0,Минерва Макгонагалл
Белла,1.0,Том Реддл
Ремус Люпин,79.0,Северус Снейп
 ОЖП,6.0,Драко Малфой
?,10.0,ГП
Намёк на Фред,1.0,ОЖП
Джеймс Поттер,25.0,Сириус Блэк
Виктор,2.0,Гарри.
Молли Уизли,1.0,ОМП
Гермиона Грейнджер,3.0,Мальсибер
Антонин Долохов,7.0,Нарцисса Малфой
Маленький принц,1.0,Роза
Ванесса Карлайл,1.0,Уэйд Уинстон Уилсон
alt!Гарри Поттер,2.0,Том Марволо Реддл
АД,4.0,ММ
Гермиона Грейнджер.,35.0,Драко Малфой
Селестина Святова,2.0,Тимофей Князев
Вениамин Калюжный,2.0,Яна Серебрянская
Захарра Драгоций,12.0,Маар Броннер
Гарри Поттер,1.0,Кристалл Фабиан и другие
Лили Полумна Поттер,4.0,Скорпиус Малфой
Маркус,18.0,Оливер
Джинни Уизли,9.0,Оливер Вуд
Нимфадо́ра Тонкс,28.0,Ремус Люпин
Кан Хёнгу,1.0,Санса Старк
adult!Драко Малфой,1.0,adult!Луна Лавгуд
Гарр,1.0,Гермиона Грейнджер
Мэри Макдональд,11.0,Ремус Люпин
Алиса Лонгботтом,7.0,Френк Долгопупс
Гарри Поттер,3.0,Дельфини
Изуку Мидория,4.0,Кацуки Бакуго
Люциус Малфой,18.0,Сириус Блэк III
Джинни Уизли,42.0,Том Марволо Реддл
Антонин Долохов,13.0,Том Марволо Реддл
Новый Женский Персонаж и весь канон.,1.0,Северус Снейп
human!Билл Сайфер,1.0,Мэйбл Пайнс
Блейз Забини,29.0,ОЖП
Невилл Лонгботтом,40.0,Полумна Лавгуд
]Драко,1.0,Гермиона[
fem!Гарри Поттер,1.0,Винсент Фантомхайв
fem!Гарри Поттер,1.0,Себастьян Михаэлис
Белла Эбигейл,1.0,Саймон
Минерва МакГонагалл,5.0,Том Реддл
Куросаки Ичиго,2.0,Хичиго Широсаки
Драко Малфой,90.0,Луна Лавгуд
Кэти Белл,1.0,Скорпиус Гиперион Малфой
Фонг,2.0,Череп
Петир,1.0,Санса
Гарри Поттер,3.0,Дин Винчестер
Сангвини,1.0,Сэм Винчестер
Гарри Поттер,1.0,Фил Колсон
 Гермиона Грейнджер,10.0,Гарри Поттер 
Гермиона Грейнджер,15.0,Нарцисса Малфой
Северус Снейп,1.0,Софи Поттер
Герми-Дементор,1.0,Седрик Диггори
Катрина Паркер,1.0,Том Марволо Реддл
Анжелика Хомия,1.0,Блейз Забини
Лейла Люпин,1.0,Регулус Блэк
 Люциус Малфой,1.0,Гарри Поттер
Нимфадора Тонкс,13.0,Чарли Уизли
Альбус Дамблдор,18.0,Минерва МакГонагалл
Минерва Макгонагалл,13.0,Том Марволо Реддл
?,3.0,СС
 Лили Эванс.,1.0,Джеймс Поттер 
Гарри Поттер,5.0,Роза Уизли
Кики Сейран,1.0,Митсухиде Луэн
 Гермиона,2.0,Гарри Поттер
Геллерт Гриндельвальд,7.0,Гермиона Грейнджер
 Грейнджер,2.0,Малфой
ЛЭ,9.0,СС
Джей Бирн,1.0,Эндрю Комптон
Гарри Поттер,1.0,Кингсли
Антонин Долохов,34.0,Гермиона Грейнджер
Вальбурга Блэк,40.0,Орион Блэк
Флимонт Поттер,4.0,Юфимия Поттер
Доркас Медоуз,1.0,Северус Снейп
Снейп,2.0,Тонкс
Боб Огден,1.0,Меропа Мракс
Меропа Мракс,6.0,Том Реддл-ст.
Северус Снейп,1.0,Сириус Блэк II
Беллатриса Лестрейндж,28.0,Сириус Блэк III
